category_id,category_name,annotation_count,problem_type,source,suggested_ean,suggested_name,name_sim,visual_sim,confidence,target_cat_id,kassal_url,notes
36,MÜSLI FRUKT MÜSLI 700G AXA,14,no_product_code,kassal_search,7044416013684,Musli Frukt 700g Axa,0.826,,medium,,https://joker.no/nettbutikk/varer/frokost-palegg/frokostblandinger-og-musli/kornblanding/musli-frukt-7044416013684,
36,MÜSLI FRUKT MÜSLI 700G AXA,14,no_product_code,kassal_search,7044416013684,Musli Frukt 700g Axa,0.826,,medium,,https://spar.no/nettbutikk/varer/palegg-og-frokost/frokostblandinger-og-musli/kornblanding/musli-frukt-7044416013684,
36,MÜSLI FRUKT MÜSLI 700G AXA,14,no_product_code,kassal_search,7044416013684,Musli Frukt 700g Axa,0.826,,medium,,https://meny.no/Varer/palegg-frokost/frokostblandinger-og-musli/kornblanding/musli-frukt-7044416013684,
138,Økologiske Egg 10stk,14,no_product_code,kassal_search,7090049030017,Økologiske Egg 10stk Støylen,0.833,,medium,,,
138,Økologiske Egg 10stk,14,no_product_code,kassal_search,7035620057359,Egg M/L Økologiske 10stk Vilje,0.64,,low,,https://meny.no/Varer/meieri-egg/egg/egg-m-l-7035620057359,
138,Økologiske Egg 10stk,14,no_product_code,kassal_search,7035620057359,Egg M/L Økologiske 10stk Vilje,0.64,,low,,https://spar.no/nettbutikk/varer/meieri-og-egg/egg/egg-m-l-7035620057359,
182,FRIELE INSTANT 200G,13,no_product_code,kassal_search,7037159627003,Friele Instant Gull 200g,0.884,,high,,https://matlevering.coop.no/drikkevarer/kaffe/friele-gull-instant-200g,
182,FRIELE INSTANT 200G,13,no_product_code,kassal_search,7037159627003,Friele Instant Gull 200g glass,0.776,,medium,,https://meny.no/Varer/drikke/kaffe/instant-kaffe/friele-instant-7037159627003,
182,FRIELE INSTANT 200G,13,no_product_code,kassal_search,7037159627003,Friele Instant Gull Glass 200g,0.776,,medium,,,
4,Økologiske Egg 6stk,10,no_product_code,kassal_search,7039610005887,ØKOLOGISKE EGG L/XL 6STK,0.884,,high,,,
4,Økologiske Egg 6stk,10,no_product_code,kassal_search,7090049030000,Økologiske Egg 6stk Støylen,0.826,,medium,,,
4,Økologiske Egg 6stk,10,no_product_code,kassal_search,7056320040649,Egg 6stk Økologiske Meling,0.578,,low,,,
127,FRIELE FROKOST HEL 500G,9,no_product_code,kassal_search,7037150150012,Friele Frokost hel 500g,1.0,,high,,https://meny.no/Varer/drikke/kaffe/hele-kaffebonner/friele-frokost-7037150150012,
127,FRIELE FROKOST HEL 500G,9,no_product_code,kassal_search,17037150520126,Friele Frokost Mørk Hel 500g,0.902,,high,,https://engrosnett.no/drikkevarer/kaffe/friele-frokost-mork-hel-500g,
127,FRIELE FROKOST HEL 500G,9,no_product_code,kassal_search,7037150150012,Friele Frokost Kaffe Hel 500g,0.885,,high,,https://matlevering.coop.no/drikkevarer/kaffe/friele-frokost-kaffe-500g-hel,
155,MELANGE FLYTENDE MARGARIN M/SMØR 500ML,3,no_product_code,kassal_search,7036110210803,Melange Flytende Margarin m/Smør 500ml,1.0,,high,,https://kiwi.no/aktuelt/dagligvarer/#7036110210803,
155,MELANGE FLYTENDE MARGARIN M/SMØR 500ML,3,no_product_code,kassal_search,7036110210803,Melange Flytende Margarin m/Smør 500ml,1.0,,high,,https://meny.no/Varer/palegg-frokost/smor-margarin-og-matfett/smorblanding/melange-flytende-7036110210803,
155,MELANGE FLYTENDE MARGARIN M/SMØR 500ML,3,no_product_code,kassal_search,7036110210803,Melange Flytende Margarin m/Smør 500ml,1.0,,high,,https://spar.no/nettbutikk/varer/palegg-og-frokost/smor-margarin-og-matfett/smorblanding/melange-flytende-7036110210803,
254,SMØREMYK MELKEFRI 400G BERIT,2,no_product_code,kassal_search,7071319024981,Smøremyk Melkefri 400g Berit,1.0,,high,,https://spar.no/nettbutikk/varer/palegg-og-frokost/smor-margarin-og-matfett/margarin/smoremyk-7071319024981,
254,SMØREMYK MELKEFRI 400G BERIT,2,no_product_code,kassal_search,7071319024981,Smøremyk Melkefri 400g Berit,1.0,,high,,https://meny.no/Varer/palegg-frokost/smor-margarin-og-matfett/margarin/smoremyk-7071319024981,
254,SMØREMYK MELKEFRI 400G BERIT,2,no_product_code,kassal_search,7071319024981,Smøremyk Melkefri 400g Berit,1.0,,high,,https://kiwi.no/aktuelt/dagligvarer/#7071319024981,
59,MÜSLI BLÅBÆR 630G AXA,8,discontinued,visual_hash,,Økologiske Egg 10stk,0.195,0.836,high,138,,
59,MÜSLI BLÅBÆR 630G AXA,8,discontinued,visual_hash,7035620050688,GÅRDSEGG M/L 12STK ELDORADO,0.167,0.793,medium,283,,
59,MÜSLI BLÅBÆR 630G AXA,8,discontinued,visual_hash,7039610005887,EGG ØKOLOGISK M/L/XL 6STK PRIOR,0.231,0.793,medium,232,,
170,MÜSLI ENERGI 650G AXA,8,discontinued,visual_hash,7039610005887,EGG ØKOLOGISK M/L/XL 6STK PRIOR,0.231,0.816,high,232,,
170,MÜSLI ENERGI 650G AXA,8,discontinued,visual_hash,,MÜSLI FRUKT MÜSLI 700G AXA,0.638,0.805,high,36,,
170,MÜSLI ENERGI 650G AXA,8,discontinued,visual_hash,7300400115636,KNEKKEBRØD RUNDA KANEL 330G WASA,0.34,0.805,high,39,,
